,vehicle,seed,sum_ports,fal_typ,geometry
0,10,952366,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B7439490D0>
1,10,958540,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743949190>
2,10,961391,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743949250>
3,10,961450,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743949310>
4,10,963294,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B7439493D0>
5,10,964237,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743949490>
6,10,964342,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743949550>
7,10,968468,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743949610>
8,10,968971,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B7439496D0>
9,10,969027,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743949790>
10,10,969142,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743949850>
11,10,969387,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743949910>
12,10,971681,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B7439499D0>
13,12,955108,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743A506A0>
14,12,956708,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743A50760>
15,12,964379,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743A50820>
16,12,964872,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743A508E0>
17,12,968723,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743A509A0>
18,12,971676,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743A50A60>
19,12,971681,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743A50B20>
20,13,955108,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743ABD6D0>
21,13,956708,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743ABD790>
22,13,963644,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743ABD850>
23,13,964069,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743ABD910>
24,13,964379,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743ABD9D0>
25,13,964872,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743ABDA90>
26,13,966880,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743ABDB50>
27,13,967109,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743ABDC10>
28,13,968652,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743ABDCD0>
29,13,968723,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743ABDD90>
30,13,970844,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743ABDE50>
31,13,971681,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743ABDF10>
32,14,951867,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743BAF910>
33,14,953296,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743BAF9D0>
34,14,954708,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743BAFA90>
35,14,954809,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743BAFB50>
36,14,955163,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743BAFC10>
37,14,955343,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743BAFCD0>
38,14,958766,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743BAFD90>
39,14,958804,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743BAFE50>
40,14,958964,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743BAFF10>
41,14,958978,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743BAFFD0>
42,14,959161,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743BB30D0>
43,14,959514,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743BB3190>
44,14,960967,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743BB3250>
45,14,961118,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743BB3310>
46,14,963493,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743BB33D0>
47,14,964636,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743BB3490>
48,14,964814,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743BB3550>
49,14,966848,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743BB3610>
50,14,966970,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743BB36D0>
51,14,968835,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743BB3790>
52,14,971524,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743BB3850>
53,14,971589,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743BB3910>
54,15,952366,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743C86520>
55,15,958540,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743C865E0>
56,15,964302,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743C866A0>
57,15,964342,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743C86760>
58,15,971681,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743C86820>
59,1,952588,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743B04C70>
60,1,954748,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743B04D30>
61,1,954854,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743B04DF0>
62,1,957213,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743B04EB0>
63,1,961445,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743B04F70>
64,1,961501,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743CD4070>
65,1,964892,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743CD4130>
66,1,968663,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743CD41F0>
67,3,951950,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E14280>
68,3,952546,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E14340>
69,3,952694,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E14400>
70,3,953917,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E144C0>
71,3,954233,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E14580>
72,3,954513,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E14640>
73,3,954523,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E14700>
74,3,954539,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E147C0>
75,3,954562,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E14880>
76,3,954593,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E14940>
77,3,954748,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E14A00>
78,3,954809,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E14AC0>
79,3,955163,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E14B80>
80,3,955227,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E14C40>
81,3,955246,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E14D00>
82,3,955269,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E14DC0>
83,3,955814,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E14E80>
84,3,955940,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E14F40>
85,3,955960,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1B040>
86,3,956004,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1B100>
87,3,956060,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1B1C0>
88,3,956197,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1B280>
89,3,956706,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1B340>
90,3,957118,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1B400>
91,3,957231,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1B4C0>
92,3,957687,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1B580>
93,3,957947,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1B640>
94,3,958535,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1B700>
95,3,958585,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1B7C0>
96,3,958615,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1B880>
97,3,958823,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1B940>
98,3,958978,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1BA00>
99,3,959068,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1BAC0>
100,3,959668,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1BB80>
101,3,961137,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1BC40>
102,3,961256,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1BD00>
103,3,961346,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1BDC0>
104,3,961651,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1BE80>
105,3,961716,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1BF40>
106,3,961721,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1E040>
107,3,962053,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1E100>
108,3,963089,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1E1C0>
109,3,963553,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1E280>
110,3,963697,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1E340>
111,3,963812,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1E400>
112,3,963845,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1E4C0>
113,3,963847,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1E580>
114,3,963909,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1E640>
115,3,963935,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1E700>
116,3,964237,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1E7C0>
117,3,964533,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1E880>
118,3,964925,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1E940>
119,3,964931,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1EA00>
120,3,965200,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1EAC0>
121,3,965409,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1EB80>
122,3,965506,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1EC40>
123,3,965898,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1ED00>
124,3,966062,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1EDC0>
125,3,966217,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1EE80>
126,3,966538,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E1EF40>
127,3,966844,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E27040>
128,3,966997,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E27100>
129,3,967064,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E271C0>
130,3,967698,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E27280>
131,3,967786,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E27340>
132,3,968169,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E27400>
133,3,968953,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E274C0>
134,3,968988,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E27580>
135,3,969044,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E27640>
136,3,969104,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E27700>
137,3,969116,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E277C0>
138,3,969332,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E27880>
139,3,969964,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E27940>
140,3,970937,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E27A00>
141,3,971329,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E27AC0>
142,3,971445,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E27B80>
143,3,971666,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E27C40>
144,3,971708,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B743E27D00>
145,6,963644,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B74435C550>
146,6,964237,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B74435C610>
147,6,964379,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B74435C6D0>
148,6,966132,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B74435C790>
149,6,966981,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B74435C850>
150,6,967060,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B74435C910>
151,6,967109,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B74435C9D0>
152,6,969356,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B74435CA90>
153,7,952278,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B7445BD670>
154,7,954430,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B7445BD730>
155,7,956541,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B7445BD7F0>
156,7,959185,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B7445BD8B0>
157,7,959668,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B7445BD970>
158,7,960158,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B7445BDA30>
159,7,962938,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B7445BDAF0>
160,7,963148,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B7445BDBB0>
161,7,963417,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B7445BDC70>
162,7,964237,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B7445BDD30>
163,7,964379,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B7445BDDF0>
164,7,964925,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B7445BDEB0>
165,7,965350,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B7445BDF70>
166,7,967068,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B74464E070>
167,7,968971,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B74464E130>
168,7,969142,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B74464E1F0>
169,8,955108,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744464280>
170,8,955218,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744464340>
171,8,956275,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744464400>
172,8,956512,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B7444644C0>
173,8,956905,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744464580>
174,8,967061,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744464640>
175,8,968652,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744464700>
176,8,971681,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B7444647C0>
177,9,951867,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A43190>
178,9,952143,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A43250>
179,9,952546,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A43310>
180,9,952582,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A433D0>
181,9,952694,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A43490>
182,9,954233,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A43550>
183,9,954708,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A43610>
184,9,954809,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A436D0>
185,9,955163,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A43790>
186,9,955343,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A43850>
187,9,956938,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A43910>
188,9,957114,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A439D0>
189,9,957687,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A43A90>
190,9,958964,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A43B50>
191,9,959161,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A43C10>
192,9,959355,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A43CD0>
193,9,959480,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A43D90>
194,9,959514,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A43E50>
195,9,959668,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A43F10>
196,9,960429,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A43FD0>
197,9,960433,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A440D0>
198,9,960510,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A44190>
199,9,961012,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A44250>
200,9,961256,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A44310>
201,9,961716,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A443D0>
202,9,961720,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A44490>
203,9,963537,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A44550>
204,9,964093,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A44610>
205,9,964636,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A446D0>
206,9,964696,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A44790>
207,9,964814,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A44850>
208,9,964925,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A44910>
209,9,966673,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A449D0>
210,9,966693,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A44A90>
211,9,966970,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A44B50>
212,9,967698,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A44C10>
213,9,967797,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A44CD0>
214,9,968881,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A44D90>
215,9,969174,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A44E50>
216,9,970534,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A44F10>
217,9,971700,4,Chargers out of range,<shapely.coords.CoordinateSequence object at 0x000002B744A44FD0>
